Area (m2),Frontage (m),Access Road (m) ,Floors,Bedrooms,Bathrooms,Price (B VND)
162,14,14,3,4,4,8.26
120,4,8,1,2,1,8.2
60,5,7.5,2,3,2,5.6
76,6,,2,,,7.5
32,,,5,4,4,3
100,,,,,,3.3
54,4.7,5,3,3,3,5.7
66,4.3,10,4,3,2,7.99
44,,6,1,2,2,2.3
21,7,,5,3,2,4.5
165,,15,,,,7.3
69.1,3.7,5,2,5,4,9.69
88,,,,,,9.8
110,,,3,,,7.5
47.1,4.1,6,4,4,3,3.3
31,,,,,,6.9
16,4,3,3,2,2,1.15
65,,,,2,1,6.21
100,5,5,4,7,7,9.5
95,,,2,3,2,1.75
80,4.2,2.5,3,3,3,6.8
90,6,,3,4,5,8.5
55,4,4.5,4,5,4,8.9
300,,,,,,2.9
67.5,,,4,,,4.5
35,4.4,,5,3,3,5.9
42,,,,,,4.3
162.2,6.9,2,1,3,2,9.95
163.2,,,,,,8.15
75,5,20,3,4,3,6.7
100,5,30,4,4,4,6.5
106,,7.5,3,,3,5.8
26,3,20,4,4,3,1.1
63.2,15,6,4,5,4,6.4
46,,,,,,4.6
96,8,5,2,5,3,5.9
55,,10.5,2,2,2,5.3
69,,,,,,3.8
46,,,4,4,4,8
60,4,,1,,,1.2
42,5.1,,2,3,2,4.25
35,7,,4,3,3,4.2
160,,,,,,9.5
78,6,30,5,7,5,9.3
88,8,7,4,5,6,6.2
400,20,40,4,4,3,6.3
98,,,5,9,7,8
94,4.6,,,,,3.8
47.1,4.3,2,2,3,2,5.4
176,5,6,,2,1,1.95
53,,18,3,4,3,6.9
39,,,,5,4,7.3
72,,6,1,3,2,5.75
33.6,,,4,4,4,4.85
150,,,1,3,3,5.99
37,5,,6,3,4,6.38
75,5,10,3,4,4,9.8
50,,,3,4,4,8.9
150,,27,3,4,4,6.15
58.3,,,5,,,9.3
114,30,30,,,,7.18
35,,,2,3,2,4.9
100,,7,2,3,2,2.8
50,3.5,2.5,1,3,1,4.9
28,3.1,2,4,,,4.75
75,5,20,5,,,8.5
85,5,,3,4,3,2.1
92.3,4.4,4,2,4,2,4.7
63,,12,4,4,4,9.2
28,,,4,3,2,7.5
50,,,,,,1.33
30,,10,2,2,2,3.9
35,5,3,5,4,5,4.55
37.4,,,2,2,2,1.88
36,,,2,2,2,3.68
580,,,,2,2,3
55,5,12,3,4,5,6.77
63,10,,5,4,5,8.4
40,,,6,,7,7.35
50,,,5,6,5,8.2
40,4,4,1,2,1,5.5
52,,,4,4,4,4.6
105,7.5,20,4,6,6,5.6
30.5,3.05,4,5,3,4,6.4
54.9,,7,3,5,5,4.75
60,4,8,4,4,5,8.1
105,7.5,21,4,6,6,5.6
45,,,,,,2.8
35,,,5,,,3.6
60,4.5,8,3,4,3,6.8
44,5,3,6,5,5,8.7
35,3.9,2,5,3,4,6.3
150,8,15,2,4,2,2.55
96,,8,,,,9
89,4,12,1,3,2,1.25
27,,,4,3,4,6.6
30,,,5,6,4,4.25
330,,,1,3,2,7.7
67.5,4.5,15,4,4,4,4.68
24,4,2,1,2,1,1.15
95,5.2,6,2,3,3,7.55
60,,3,3,3,3,1.87
110,4,12,3,4,4,7.65
50,,6,3,4,5,4.99
150,,,1,4,2,2.25
56,4,8,4,4,5,6.2
64,10,10,4,4,5,7.5
39,,,4,4,5,4.1
510,6.5,36,,2,2,3.8
111,11,16,3,4,4,6.76
40,3.5,2,6,8,8,6.98
80,5,7,3,3,3,6.1
70,,,5,6,4,4.15
56,,8,5,4,5,6.5
150,,10,,9,9,2.18
67.5,4.5,15,4,,,4.6
44,4.6,,4,,,5.95
45,,,3,4,3,2.48
58,4,3,5,4,4,7.9
39,,,7,,,9.7
52,,,,,,4.5
61,4,,3,3,3,6.5
67.5,4.5,9,4,3,3,9
80,,,,3,4,2.99
68,6,9,4,4,4,9
25,4.1,2,2,2,2,3.45
66,6,6,4,4,4,10
511,11.5,8,1,2,1,5.5
126,,,,,,7.5
220,,14,3,5,4,8.5
51,,,2,3,2,5.5
95,29,29,3,4,5,5.5
44,5,5,2,2,1,3.9
64,,7,5,4,5,6.5
52.5,5,,2,2,2,5.75
90,6,16,2,3,3,4.7
136.6,,,,,,4.8
96,8,20,4,5,6,8.5
41.6,3,,5,4,4,6.3
79,5.3,2.5,4,4,6,7
100,,,3,3,3,3.55
97.9,,13,3,4,3,4.5
81,,,,,,4.75
80,,12,3,,,6.5
41,,,4,4,5,6.75
27,2.7,,5,2,3,5.5
95,,30,,,,5.65
78,,,,3,,2.8
87.2,4,,2,2,1,2.75
68,4,18,2,3,2,1.85
80,5,10,4,4,4,9.6
75,,,,,,4.3
84,6,6,1,2,1,2.85
28,2.6,,4,2,3,5
52,,3.5,5,,,8
35,,,5,4,,5.04
78,,10.5,3,3,4,8.69
41,,3,2,2,2,2.2
34,,,5,5,,5.25
35,4,3,5,3,4,5.65
45,,,5,5,,9.6
73,4.3,,3,3,2,3.7
44,4,3,3,6,4,6.5
125,,10.5,1,1,1,6.79
35,,,5,4,,3.95
61,5,,3,3,3,7.8
58,4,5,4,3,,6.5
55,,,5,,,5.9
38,,,4,5,,4.5
61,,,2,1,1,4.05
38,,,5,3,4,8.3
70,5,5.5,3,3,3,5.59
64.5,4.2,3,2,2,2,2.6
30,,,5,3,,5
53,4.05,5.5,4,5,5,5.9
31,,,5,3,3,2.25
78.5,5.2,,3,3,3,7.1
65,4,7,4,5,5,7.68
56,,,6,,,8.6
79,,,2,4,4,5.4
33,,,5,,,3.85
145,,,3,4,4,7.5
92,,8,,5,,5.2
67.5,4.5,15,4,4,4,4.6
90,,,,,,9.3
42,4.5,2,4,3,3,7.9
45,4,2.5,5,6,4,5.5
60,5,3,5,9,9,10
77,,5,3,4,5,3.1
60,4,,2,6,3,6.5
32,4.2,5,5,3,4,4.4
42,4,2.5,5,3,3,3.4
33,,,5,,,4.55
35,4,3,5,3,4,4.6
35,4,3,4,3,3,4.65
36,4,5,2,2,2,3.9
32,,,2,2,,2.35
38,5,5,5,4,4,4.8
45,,,3,5,4,9.3
30.4,,,4,,,3.3
50,,,5,5,5,6.15
64,3.6,5,2,2,2,8.9
62,,3,5,5,6,7.2
60,,,4,6,7,4
56,,6,2,2,2,3.95
95,5,12,3,4,3,5.35
100,,,5,6,7,6
120,4,10,,,,8.5
55,4,5,4,4,4,5.8
59.1,4,,3,,,6.5
89.3,,15,3,3,2,7.95
38,5.1,3,3,3,3,3.3
48,9,,3,3,3,6.5
90,,,,,,1.4
38,,,4,4,3,2.2
41.5,,,4,,,5.2
68,3.8,6,2,3,2,5.95
68,,4,2,2,2,6.3
